rank,name,clan,sponsor,country iso,flag link
278,CHEEKY,4MA.,,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
279,555,SB.,,cl,http://community.cloudflare.steamstatic.com/public/images/countryflags/cl.gif
280,kind--,ds.,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
281,AlwaysBasedDota,,,,
282,sumic,,,,
283,NoName♥,,,,
284,zozozoe♥,,,,
285,tavo,..,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
286,777™,,,,
287,Sasuke,CN.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
288,Got`Cha,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
289,Napkin,,,,
290,Wiber,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
291,Waves,,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
292,nuages,Incubus.,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
293,Mercurial,d34d1n51d3.,,ru,http://community.cloudflare.steamstatic.com/public/images/countryflags/ru.gif
294,esko,,,ru,http://community.cloudflare.steamstatic.com/public/images/countryflags/ru.gif
295,Gorcabalera,BC.,,ar,http://community.cloudflare.steamstatic.com/public/images/countryflags/ar.gif
296,çlkj,,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
297,Rayuur,Motoca.,,,
298,kaffurtadx,Axis.,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
299,Blessed-,,,,
300,xaxaxaxa,,,,
301,MonHty,,,,
302,Schizophrenia,..,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
303,JAXMONEYCREW,,,,
304,jubella_`,,,,
305,Gardick,Hokori.,,,
306,Romj3k~,,.:3,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
307,Zaza,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
308,Snow,,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
309,Ryota,TkS.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
310,.,,,kr,http://community.cloudflare.steamstatic.com/public/images/countryflags/kr.gif
311,41,,,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
312,أكره الحياة,,,,
313,SOUTHSIDEboi,0-900.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
314,B13ck,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
315,Ryu‘Style,Knight.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
316,Pumpkin,TC.,,id,http://community.cloudflare.steamstatic.com/public/images/countryflags/id.gif
317,focco,TT.,,bo,http://community.cloudflare.steamstatic.com/public/images/countryflags/bo.gif
318,hector,XOLOTL.,.crunchyroll.com,mx,http://community.cloudflare.steamstatic.com/public/images/countryflags/mx.gif
319,ITALIANO GANGSTA,,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
320,Sogarde,,,ro,http://community.cloudflare.steamstatic.com/public/images/countryflags/ro.gif
321,Genek,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
322,Booker-,DeWitt.,,nz,http://community.cloudflare.steamstatic.com/public/images/countryflags/nz.gif
323,Amâriö,Assbeater.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
324,recontra rrRAAA,,,,
325,eR,,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
326,Waige,HR.,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
327,Feeder,Wdr.,,,
328,ArzenT H y G,,,,
329,CarJua,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
330,ztok,0-900.,,,
331,empyreaN,YSG.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
332,Chainsaw,SUPAY.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
333,trepo,UD.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
334,Vidi,EHUG.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
335,Buh,,,,
336,j7728,,,,
337,GeGe,,,lb,http://community.cloudflare.steamstatic.com/public/images/countryflags/lb.gif
338,AMINN,Ωmega.,./////////,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
339,Monday,,,,
340,own`A🖤,,,,
341,American Patriot,,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
342,xd,,,,
343,WeWeL,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
344,CHAAAAAAAAAANNNNNNN,,,,
345,Starboy 7w7,,,,
346,Axarious,Cookies.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
347,Ryu,DN.,,cr,http://community.cloudflare.steamstatic.com/public/images/countryflags/cr.gif
348,ConStantine,TR.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
349,ErronBlack,Gg.,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
350,hi im corey,,,,
351,oho?,,,,
352,DANI,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
353,Senseibas,[HB].,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
354,peruvian griefing adventures,,,,
355,KappaKappaTau*,DEOS.,,bo,http://community.cloudflare.steamstatic.com/public/images/countryflags/bo.gif
356,davis,fP.,,,
357,Whiplash,,,,
358,Sai,,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
359,,,,,
360,Rabish,,,,
361,blatnoy,,,,
362,Jenkins,trashbears.,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
363,martino.berserker.16_2003,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
364,Nando,BasherE..,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
365,tano,,,bo,http://community.cloudflare.steamstatic.com/public/images/countryflags/bo.gif
366,Sayouly,,,,
367,XVI,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
368,RedMonster,CUCHILLO.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
369,GOD_Z,Plus.,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
370,ZaTta,,,bo,http://community.cloudflare.steamstatic.com/public/images/countryflags/bo.gif
371,. .,,,,
372,xaxaaxxaaxxa,,,,
